"Rank";"Symbol";"Instrument";"Annualized return";"Average return";"Median return";"Pattern Start";"Pattern End";"Cal. Days";"Max Profit";"Max Loss";"No. of Winners";"No. of Trades";"Win Ratio";"Std Dev";"Sharpe Ratio";
"37";"CZR";"Caesars Entertainment Corporation";"+235.57%";"+8.57%";"+5.93%";"24 Mar";"18 Apr";"25";"+43.23%";"-13.44%";"8";"10";"80%";"14.54%";"3.03";
"38";"FANG";"Diamondback Energy, Inc";"+178.99%";"+8.43%";"+9.10%";"24 Mar";"22 Apr";"29";"+41.96%";"-9.14%";"8";"10";"80%";"13.00%";"3.44";
"39";"CCI";"Crown Castle International Corp. (REIT)";"+235.31%";"+5.02%";"+2.73%";"24 Mar";"08 Apr";"15";"+27.20%";"-2.22%";"8";"10";"80%";"8.08%";"7.19";
"40";"HAL";"Halliburton Company";"+157.97%";"+7.76%";"+10.17%";"24 Mar";"22 Apr";"29";"+24.13%";"-9.77%";"8";"10";"80%";"10.36%";"3.54";
"41";"PXD";"Pioneer Natural Resources Company";"+200.90%";"+7.12%";"+7.42%";"24 Mar";"16 Apr";"23";"+22.64%";"-7.67%";"8";"10";"80%";"9.11%";"4.79";
"42";"EQR";"Equity Residential";"+219.60%";"+4.82%";"+3.43%";"24 Mar";"08 Apr";"15";"+25.12%";"-3.45%";"9";"10";"90%";"7.18%";"6.36";
"43";"CE";"Celanese Corporation";"+172.89%";"+8.24%";"+8.67%";"24 Mar";"22 Apr";"29";"+18.23%";"-0.80%";"8";"10";"80%";"5.77%";"4.65";
"44";"MAA";"Mid-America Apartment Communities, Inc";"+209.81%";"+4.69%";"+4.00%";"24 Mar";"08 Apr";"15";"+24.39%";"-0.18%";"9";"10";"90%";"6.53%";"6.29";
"45";"EW";"Edwards Lifesciences Corporation";"+159.49%";"+7.81%";"+9.05%";"24 Mar";"22 Apr";"29";"+24.03%";"-5.88%";"7";"10";"70%";"10.04%";"4.30";
"46";"WELL";"Welltower Inc";"+193.63%";"+4.46%";"+4.56%";"24 Mar";"08 Apr";"15";"+13.71%";"-3.38%";"8";"10";"80%";"4.66%";"4.15";
"47";"UDR";"UDR, Inc";"+205.81%";"+4.63%";"+3.28%";"24 Mar";"08 Apr";"15";"+26.34%";"-2.50%";"9";"10";"90%";"7.31%";"5.49";
"48";"ISRG";"Intuitive Surgical, Inc";"+163.37%";"+7.08%";"+8.35%";"24 Mar";"19 Apr";"26";"+20.01%";"-12.73%";"8";"10";"80%";"9.73%";"3.93";
"49";"PM";"Philip Morris International Inc";"+186.75%";"+6.80%";"+6.77%";"24 Mar";"16 Apr";"23";"+18.54%";"-2.33%";"9";"10";"90%";"5.31%";"7.86";
"50";"WMB";"The Williams Companies, Inc";"+212.57%";"+8.38%";"+5.02%";"24 Mar";"19 Apr";"26";"+43.11%";"+0.21%";"10";"10";"100%";"11.43%";"6.30";
"51";"LKQ";"LKQ Corporation";"+156.44%";"+7.99%";"+8.41%";"24 Mar";"23 Apr";"30";"+20.67%";"+0.14%";"10";"10";"100%";"5.33%";"4.06";
"52";"CPT";"Camden Property Trust";"+206.16%";"+4.64%";"+2.93%";"24 Mar";"08 Apr";"15";"+23.22%";"-0.01%";"9";"10";"90%";"6.18%";"6.04";
"53";"TRGP";"Targa Resources Corp";"+212.16%";"+9.39%";"+4.72%";"24 Mar";"22 Apr";"29";"+41.32%";"-0.93%";"9";"10";"90%";"10.96%";"4.63";
"54";"STZ";"Constellation Brands, Inc";"+200.66%";"+7.44%";"+5.20%";"24 Mar";"17 Apr";"24";"+31.40%";"-1.60%";"8";"10";"80%";"8.74%";"6.09";
"55";"OXY";"Occidental Petroleum Corporation";"+202.94%";"+6.19%";"+4.34%";"24 Mar";"13 Apr";"20";"+43.00%";"-10.24%";"8";"10";"80%";"12.94%";"4.14";
"56";"BSX";"Boston Scientific Corporation";"+169.83%";"+7.26%";"+6.75%";"24 Mar";"19 Apr";"26";"+32.00%";"-7.20%";"9";"10";"90%";"9.25%";"5.78";
"57";"PSA";"Public Storage";"+196.36%";"+4.50%";"+2.42%";"24 Mar";"08 Apr";"15";"+18.04%";"-2.78%";"8";"10";"80%";"5.94%";"8.33";
"58";"VTR";"Ventas, Inc";"+189.61%";"+4.40%";"+2.84%";"24 Mar";"08 Apr";"15";"+20.64%";"-2.67%";"9";"10";"90%";"5.93%";"3.92";
"59";"QRVO";"Qorvo, Inc";"+85.78%";"+0.82%";"+1.06%";"24 Mar";"29 Mar";"5";"+4.13%";"-3.94%";"7";"10";"70%";"2.59%";"1.84";
"60";"SLB";"Schlumberger Limited";"+153.28%";"+6.51%";"+6.99%";"24 Mar";"18 Apr";"25";"+17.05%";"-3.25%";"9";"10";"90%";"5.69%";"3.81";
"61";"STX";"Seagate Technology plc";"+163.11%";"+4.55%";"+5.24%";"24 Mar";"10 Apr";"17";"+17.14%";"-10.01%";"9";"10";"90%";"7.26%";"4.85";
"62";"NEM";"Newmont Mining Corporation";"+191.79%";"+6.60%";"+3.74%";"24 Mar";"15 Apr";"22";"+22.57%";"-0.21%";"8";"10";"80%";"6.80%";"5.41";
"63";"CTRA";"Coterra Energy Inc";"+161.90%";"+6.19%";"+5.48%";"24 Mar";"16 Apr";"23";"+18.10%";"-9.16%";"8";"10";"80%";"7.82%";"4.88";
"65";"EOG";"EOG Resources, Inc";"+112.35%";"+6.12%";"+8.62%";"24 Mar";"22 Apr";"29";"+15.64%";"-5.25%";"7";"10";"70%";"7.10%";"2.79";
